"totf","totf.rsn","Total Football","",""
"tpjg","tpjg.rsn","Timon and Pumbaa's Jungle Games","",""
"trba","trba.rsn","Twinbee: Rainbow Bell Adventure","",""
"tsg","tsg.rsn","The Shinri Game","",""
"tsg2","tsg2.rsn","The Shinri Game 2: Magical Trip","",""
"tsp","tsp.rsn","Traverse: Starlight and Prairie","",""
"tstgb","tstgb.rsn","Toy Story (Super Gameboy)","",""
"tstp","tstp.rsn","Tsuyoshi Shikkarishinasai Taisen Puzzle-Dama","",""
"tta","tta.rsn","Tiny Toon Adventures: Buster Busts Loose","",""
"ttat","ttat.rsn","TinTin au Tibet","",""
"ttawsc","ttawsc.rsn","Tiny Toon Adventures: Wacky Sports Challenge","",""
"ttsmf","ttsmf.rsn","The Twisted Tales of Spike McFang","",""
"ttts","ttts.rsn","TinTin, Les Aventures de: Le Temple du Solei","",""
"ubj","ubj.rsn","Ultra Baseball Jitsumeiban","",""
"ubj2","ubj2.rsn","Ultra Baseball Jitsumeiban 2","",""
"ubj3","ubj3.rsn","Ultra Baseball Jitsumeiban 3","",""
"ukt","ukt.rsn","Ultima: Dinosaur Empire","",""
"ult6","ult6.rsn","Ultima 6","",""
"ult7","ult7.rsn","Ultima 7","",""
"um","um.rsn","Ultraman: Towards the Future","",""
"unfl","unfl.rsn","Untitled NFL Football Game","",""
"unt","unt.rsn","The Untouchables","",""
"urov2","urov2.rsn","Ultima: Runes of Virtue 2","",""
"ut","ut.rsn","Ushio and Tora","",""
"uw","uw.rsn","Super Dai Koukai Jidai (Super Unchartered Water)","",""
"uw2","uw2.rsn","Dai Koukai Jidai 2 (Uncharted Waters: New Horizons)","",""
"vt","vt.rsn","Soukoukihei Votoms: The Battling Road","",""
"w2ah","w2ah.rsn","Wings 2 Aces High","",""
"wapa","wapa.rsn","BS Wapaaz Souryu Hen","",""
"wcup","wcup.rsn","World Cup '98 (Super Gameboy)","",""
"wcwsb","wcwsb.rsn","WCW SuperBrawl Wrestling","",""
"wesas","wesas.rsn","Winter Extreme: Skiing and Snowboarding","",""
"wfdx","wfdx.rsn","Wheel of Fortune: Deluxe Edition","",""
"wiz123","wiz123.rsn","Wizardry 1-2-3","",""
"wiz5","wiz5.rsn","Wizardry 5: Heart of the Maelstrom","",""
"wnrn","wnrn.rsn","Ken Griffey Jr. Winning Run","",""
"woar","woar.rsn","Wolverine: Adamantium Rage","",""
"wom","wom.rsn","World of Manga II","",""
"wwfa","wwfa.rsn","WWF Wrestlemania: The Arcade Game","",""
"xak","xak.rsn","Xak: The Art of Visual Stage","",""
"xma","xma.rsn","X-Men: Mutant Apocalypse","",""
"xmas","xmas.rsn","Christmas Craze","",""
"xmvsf","xmvsf.rsn","X-Men vs. Street Fighter (Pirate)","",""
"yi","yi.rsn","Super Mario World 2: Yoshi's Island","",""
"ykb","ykb.rsn","Youkai Buster: Ruka no Daibouken","",""
"ys3","ys3.rsn","Ys 3: Wanderers From Ys","",""
"ys4","ys4.rsn","Ys IV: Mask of the Sun","",""
"yyht","yyht.rsn","Yuu Yuu Hakusho: Tokubetsu-hen","",""
"zgd","zgd.rsn","Z-Gundam: Away to the Newtype","",""
"zkss2","zkss2.rsn","Zenkoku Koukou Soccer Senshuken 2","",""
"znpw","znpw.rsn","Zennihon Pro Wrestling","",""
"znpw2","znpw2.rsn","Zennihon Pro Wrestling 2 - 3.4 Budoukan","",""
"znpwd","znpwd.rsn","Zennihon Pro Wrestling Dash - Sekai Saikyou Tag (Natsume Championship Wrestling)","",""
